Datetime,Temp. del Agua,Temp. del aire (2.5m)
2023-10-11 14:50:00,4.9,7.3
2023-10-11 15:00:00,4.9,7.7
2023-10-11 15:10:00,4.9,7.8
2023-10-11 15:20:00,4.9,7.6
2023-10-11 15:30:00,4.9,7.6
2023-10-11 15:40:00,4.9,7.6
2023-10-11 15:50:00,4.9,7.3
2023-10-11 16:00:00,4.9,7.3
2023-10-11 16:10:00,4.9,7.2
2023-10-11 16:20:00,4.9,6.9
2023-10-11 16:30:00,5,6.7
2023-10-11 16:40:00,4.9,6.8
2023-10-11 16:50:00,4.9,6.6
2023-10-11 17:00:00,4.9,6.5
2023-10-11 17:10:00,4.9,6.5
2023-10-11 17:20:00,4.9,6.4
2023-10-11 17:30:00,4.9,6.6
2023-10-11 17:40:00,4.9,6.5
2023-10-11 17:50:00,4.9,6.3
2023-10-11 18:00:00,5,6.1
2023-10-11 18:10:00,5,6.1
2023-10-11 18:20:00,4.9,6.1
2023-10-11 18:30:00,4.9,6.2
2023-10-11 18:40:00,4.9,6.3
2023-10-11 18:50:00,4.9,6.1
2023-10-11 19:00:00,4.9,5.9
2023-10-11 19:10:00,4.9,5.7
2023-10-11 19:20:00,4.9,5.7
2023-10-11 19:30:00,4.9,5.6
2023-10-11 19:40:00,4.9,5.5
2023-10-11 19:50:00,4.9,5.5
2023-10-11 20:00:00,4.9,5.6
2023-10-11 20:10:00,4.9,5.5
2023-10-11 20:20:00,4.9,5.5
2023-10-11 20:30:00,4.9,5.6
2023-10-11 20:40:00,4.9,5.6
2023-10-11 20:50:00,4.9,5.6
2023-10-11 21:00:00,4.9,5.6
2023-10-11 21:10:00,4.9,5.6
2023-10-11 21:20:00,4.9,5.7
2023-10-11 21:30:00,4.9,5.7
2023-10-11 21:40:00,4.9,5.7
2023-10-11 21:50:00,4.9,5.8
2023-10-11 22:00:00,4.9,5.8
2023-10-11 22:10:00,4.9,5.8
2023-10-11 22:20:00,4.9,5.7
2023-10-11 22:30:00,4.9,5.7
2023-10-11 22:40:00,4.9,5.7
2023-10-11 22:50:00,4.9,5.7
2023-10-11 23:00:00,4.9,5.7
2023-10-11 23:10:00,4.9,5.7
2023-10-11 23:20:00,4.9,5.7
2023-10-11 23:30:00,4.9,5.7
2023-10-11 23:40:00,4.9,5.7
2023-10-11 23:50:00,4.9,5.6
2023-10-12 0:00:00,4.9,5.6
2023-10-12 0:10:00,4.9,5.7
2023-10-12 0:20:00,4.9,5.7
2023-10-12 0:30:00,4.9,6
2023-10-12 0:40:00,4.9,5.8
2023-10-12 0:50:00,4.9,6
2023-10-12 1:00:00,4.9,6
2023-10-12 1:10:00,4.9,6
2023-10-12 1:20:00,4.9,6
2023-10-12 1:30:00,4.9,6.1
2023-10-12 1:40:00,4.9,6.2
2023-10-12 1:50:00,4.9,6.1
2023-10-12 2:00:00,4.9,6.2
2023-10-12 2:10:00,4.9,6.2
2023-10-12 2:20:00,4.9,6.2
2023-10-12 2:30:00,4.9,6.3
2023-10-12 2:40:00,4.9,6.4
2023-10-12 2:50:00,4.9,6.4
2023-10-12 3:00:00,4.9,6.6
2023-10-12 3:10:00,4.9,6.7
2023-10-12 3:20:00,4.9,6.8
2023-10-12 3:30:00,4.9,6.7
2023-10-12 3:40:00,4.9,6.7
2023-10-12 3:50:00,4.9,6.7
2023-10-12 4:00:00,4.9,6.6
2023-10-12 4:10:00,4.9,6.5
2023-10-12 4:20:00,4.9,6.4
2023-10-12 4:30:00,4.9,6.3
2023-10-12 4:40:00,4.9,6.5
2023-10-12 4:50:00,4.9,6.5
2023-10-12 5:00:00,4.9,6.6
2023-10-12 5:10:00,4.9,6.4
2023-10-12 5:20:00,4.9,6.3
2023-10-12 5:30:00,4.9,6.3
2023-10-12 5:40:00,4.9,6.3
2023-10-12 5:50:00,4.9,6.3
2023-10-12 6:00:00,4.9,6.3
2023-10-12 6:10:00,4.9,6.3
2023-10-12 6:20:00,4.9,6.3
2023-10-12 6:30:00,4.9,6.3
